State,Date,Avg Value,Avg Rank,Avg Mean,Avg Anomaly,Min Value,Min Rank,Min Mean,Min Anomaly,Max Value,Max Rank,Max Mean (1901-2000),Max Anomaly (1901-2000)
Delaware,201809,73.5,124,67.4,6.1,66,124,57,9,81,110,77.8,3.2
Florida,201809,82.4,124,79.1,3.3,73.7,124,69.7,4,91.1,122,88.4,2.7
Georgia,201809,79.7,122,74.5,5.2,69.4,123,63.4,6,90,118,85.6,4.4
Idaho,201809,56.2,86,54.7,1.5,40.7,75,40.1,0.6,71.7,85,69.4,2.3
Illinois,201809,70.3,115,66.2,4.1,59.6,119,54.4,5.2,81,100,78,3
Indiana,201809,69.8,118,65.7,4.1,59.7,123,53.4,6.3,80,92,77.9,2.1
Iowa,201809,65.9,100,63,2.9,55.9,118,51.1,4.8,75.9,75,74.9,1
Kansas,201809,70,83,68.6,1.4,59,113,55.3,3.7,81,45,81.9,-0.9
Kentucky,201809,73.1,116,68.6,4.5,64,124,56.4,7.6,82.3,85,80.8,1.5
Louisiana,201809,80.1,112,77.2,2.9,72.1,124,66.4,5.7,88.1,69,87.9,0.2
Maine,201809,57.9,111,54.9,3,46.5,109,43.9,2.6,69.3,111,65.9,3.4
Maryland,201809,72.8,124,67,5.8,65.6,124,56.3,9.3,79.9,104,77.6,2.3
Massachusetts,201809,65,121,60.4,4.6,56.6,124,49.4,7.2,73.4,93,71.3,2.1
Michigan,201809,62.4,111,58.5,3.9,52.2,120,47.3,4.9,72.6,101,69.7,2.9
Minnesota,201809,59.1,97,56.8,2.3,49.5,113,45.3,4.2,68.7,58,68.3,0.4
Mississippi,201809,78.7,114,75.1,3.6,69.5,123,63.3,6.2,87.9,83,87,0.9
Missouri,201809,71.3,108,68.2,3.1,61,117,56.2,4.8,81.6,82,80.2,1.4
Montana,201809,53,39,53.8,-0.8,40.1,53,40,0.1,66,39,67.6,-1.6
Nebraska,201809,65.7,100,62.8,2.9,53.8,118,48.7,5.1,77.5,68,77,0.5
Nevada,201809,65.1,115,61.7,3.4,48.1,101,45.8,2.3,82,117,77.6,4.4
New Hampshire,201809,61.2,121,56.5,4.7,51.1,123,44.8,6.3,71.2,105,68.3,2.9
New Jersey,201809,70.3,122,65,5.3,63,124,54.3,8.7,77.6,97,75.7,1.9
New Mexico,201809,67,112,64.5,2.5,52.2,107,49.8,2.4,81.8,108,79.1,2.7
New York,201809,63.6,122,58.9,4.7,54.5,123,48.1,6.4,72.7,105,69.8,2.9
North Carolina,201809,76.2,122,70.2,6,67.7,124,59.4,8.3,84.7,113,81.1,3.6
North Dakota,201809,55,40,56.3,-1.3,43,59,42.8,0.2,66.9,28,69.7,-2.8
Ohio,201809,69.6,124,64.5,5.1,60.5,124,52.5,8,78.7,90,76.5,2.2
Oklahoma,201809,73.9,78,73.1,0.8,64.3,114,60.6,3.7,83.6,34,85.6,-2
Oregon,201809,57.3,60,57.3,0,42,41,43,-1,72.6,72,71.6,1
Pennsylvania,201809,66.7,122,61.7,5,58.5,124,50.2,8.3,74.9,89,73.2,1.7
Rhode Island,201809,66.6,122,61.9,4.7,59,124,52.1,6.9,74.1,96,71.8,2.3
South Carolina,201809,79.3,122,73.7,5.6,70,124,63,7,88.6,116,84.5,4.1
South Dakota,201809,61.4,80,60.2,1.2,49.6,107,46,3.6,73.2,39,74.4,-1.2
Tennessee,201809,74.9,118,70.2,4.7,65.6,124,57.9,7.7,84.2,88,82.4,1.8
Texas,201809,76.2,71,75.9,0.3,66.9,116,63.7,3.2,85.6,17,88,-2.4
Utah,201809,65.9,124,60.6,5.3,50.4,121,46.2,4.2,81.4,124,75,6.4
Vermont,201809,60.6,120,56,4.6,50.4,121,44.6,5.8,70.8,107,67.4,3.4
Virginia,201809,72.8,123,67.1,5.7,65.1,124,55.9,9.2,80.5,99,78.3,2.2
Washington,201809,56.3,49,56.9,-0.6,44.6,57,44.6,0,68,46,69.3,-1.3
West Virginia,201809,70.3,124,64.4,5.9,61.9,124,52.4,9.5,78.8,96,76.4,2.4
Wisconsin,201809,61.3,105,58,3.3,51.3,121,46.8,4.5,71.3,91,69.3,2
Wyoming,201809,57.2,111,53.6,3.6,40.9,97,38.9,2,73.5,116,68.2,5.3
Alabama,201808,79.6,73,79.3,0.3,69.6,110,68,1.6,89.6,41,90.6,-1
Arizona,201808,80.3,116,77.8,2.5,66.7,114,64.3,2.4,93.8,112,91.3,2.5
Arkansas,201808,78.7,49,79.3,-0.6,68.8,84,67.7,1.1,88.7,29,91,-2.3
California,201808,76.4,116,73.7,2.7,61.9,119,58.6,3.3,91,104,88.9,2.1
Colorado,201808,66.2,92,65.2,1,51.3,77,50.7,0.6,81,88,79.7,1.3
Connecticut,201808,73.9,124,68.6,5.3,64.7,124,57.9,6.8,83.1,120,79.3,3.8
Delaware,201808,78.5,123,73.7,4.8,69.4,124,63.8,5.6,87.6,121,83.6,4
Florida,201808,82.3,108,81.1,1.2,73.4,115,71.5,1.9,91.1,89,90.7,0.4
Georgia,201808,79.2,71,79,0.2,69.3,98,68.1,1.2,89.1,45,89.9,-0.8
Idaho,201808,65,90,63.6,1.4,49.2,94,47.6,1.6,80.8,80,79.5,1.3
Illinois,201808,74.8,96,73.4,1.4,64.7,108,61.9,2.8,84.8,62,84.9,-0.1
Indiana,201808,74,99,72.3,1.7,64.3,111,60.6,3.7,83.8,54,84.1,-0.3
Iowa,201808,71.8,76,71.4,0.4,61.2,91,59.8,1.4,82.3,53,83,-0.7
Kansas,201808,75.8,39,77.3,-1.5,64,54,64.3,-0.3,87.5,24,90.2,-2.7
Kentucky,201808,75.8,87,74.8,1,66.2,109,63.3,2.9,85.5,43,86.3,-0.8
Louisiana,201808,82,82,81.6,0.4,72.1,91,71.2,0.9,92,71,91.9,0.1
Maine,201808,68,123,63,5,57.4,124,51.8,5.6,78.5,119,74.3,4.2
Maryland,201808,77.1,121,73.2,3.9,68,124,62.9,5.1,86.2,105,83.6,2.6
Massachusetts,201808,73.4,124,67.5,5.9,64.2,124,56.7,7.5,82.6,121,78.4,4.2
Michigan,201808,69.8,115,65.9,3.9,59.2,118,54.1,5.1,80.3,105,77.6,2.7
Minnesota,201808,67.5,89,66.3,1.2,56.6,101,54.3,2.3,78.3,66,78.2,0.1
Mississippi,201808,80.2,68,80.2,0,69.7,78,68.9,0.8,90.7,49,91.6,-0.9
Missouri,201808,76.4,72,76,0.4,65.8,94,64.2,1.6,87,53,87.8,-0.8
