State,Date,Avg Value,Avg Rank,Avg Mean,Avg Anomaly,Min Value,Min Rank,Min Mean,Min Anomaly,Max Value,Max Rank,Max Mean (1901-2000),Max Anomaly (1901-2000)
New Jersey,200810,53.4,48,54,-0.6,42,43,42.9,-0.9,64.8,56,65.1,-0.3
New Mexico,200810,54.9,76,54.1,0.8,38.7,54,38.8,-0.1,71,87,69.4,1.6
New York,200810,46.4,32,48,-1.6,35.7,29,37.5,-1.8,57.1,38,58.5,-1.4
North Carolina,200810,57.8,29,59.6,-1.8,45.6,36,47.3,-1.7,69.9,27,71.8,-1.9
North Dakota,200810,44.4,66,44,0.4,32.5,77,31.6,0.9,56.3,58,56.5,-0.2
Ohio,200810,52,40,52.8,-0.8,40.3,42,41.2,-0.9,63.8,49,64.4,-0.6
Oklahoma,200810,60.1,31,61.6,-1.5,46.9,31,48.7,-1.8,73.3,43,74.5,-1.2
Oregon,200810,48.8,81,48.1,0.7,36.4,71,36,0.4,61.1,84,60.1,1
Pennsylvania,200810,48.9,33,50.6,-1.7,37.3,29,39.2,-1.9,60.4,37,62,-1.6
Rhode Island,200810,51.2,40,51.9,-0.7,40.8,41,41.7,-0.9,61.6,51,62.1,-0.5
South Carolina,200810,61.3,25,63.2,-1.9,49.1,37,51,-1.9,73.4,21,75.4,-2
South Dakota,200810,47.2,49,47.8,-0.6,35,77,34.2,0.8,59.3,38,61.4,-2.1
Tennessee,200810,57.9,51,58.8,-0.9,44.9,50,45.6,-0.7,70.9,46,71.9,-1
Texas,200810,65.4,40,66.1,-0.7,51.5,27,53.3,-1.8,79.3,68,78.9,0.4
Utah,200810,50.4,88,48.9,1.5,36.1,78,35.6,0.5,64.6,94,62.2,2.4
Vermont,200810,44.1,38,45.2,-1.1,33.7,48,34.3,-0.6,54.5,36,56.1,-1.6
Virginia,200810,54.8,34,56.2,-1.4,42.5,37,44,-1.5,67,35,68.3,-1.3
Washington,200810,46.6,50,47.2,-0.6,36.4,42,37.1,-0.7,56.8,54,57.2,-0.4
West Virginia,200810,51.8,32,53.3,-1.5,39.2,35,40.8,-1.6,64.4,40,65.8,-1.4
Wisconsin,200810,46.7,64,46.8,-0.1,36.3,66,36.1,0.2,57.1,59,57.5,-0.4
Wyoming,200810,42.9,65,42.5,0.4,29.6,69,29.2,0.4,56.3,65,55.8,0.5
Alabama,200809,74.5,64,74.7,-0.2,64.2,81,62.9,1.3,84.8,39,86.3,-1.5
Arizona,200809,73.6,96,72,1.6,59,84,57.6,1.4,88.1,91,86.5,1.6
Arkansas,200809,71.1,32,72.8,-1.7,61.3,70,60.9,0.4,80.8,9,84.8,-4
California,200809,71.8,115,68.5,3.3,56.3,106,53.8,2.5,87.3,119,83.1,4.2
Colorado,200809,57.3,55,57.3,0,42.5,56,42.5,0,72.2,55,72.2,0
Connecticut,200809,63.3,95,61.5,1.8,53.4,105,50.6,2.8,73.2,77,72.4,0.8
Delaware,200809,69.6,98,67.4,2.2,59.7,97,57,2.7,79.5,95,77.8,1.7
Florida,200809,79.7,79,79.1,0.6,70.8,97,69.7,1.1,88.5,68,88.4,0.1
Georgia,200809,74.6,69,74.5,0.1,64.3,76,63.4,0.9,84.8,54,85.6,-0.8
Idaho,200809,55.5,73,54.7,0.8,39.7,49,40.1,-0.4,71.3,82,69.4,1.9
Illinois,200809,67.1,73,66.2,0.9,56.4,92,54.4,2,77.9,57,78,-0.1
Indiana,200809,67.6,90,65.7,1.9,55.3,91,53.4,1.9,79.8,90,77.9,1.9
Iowa,200809,63.5,68,63,0.5,52.6,85,51.1,1.5,74.4,55,74.9,-0.5
Kansas,200809,66.4,31,68.6,-2.2,54.6,47,55.3,-0.7,78.2,21,81.9,-3.7
Kentucky,200809,71,96,68.6,2.4,58.2,90,56.4,1.8,83.8,99,80.8,3
Louisiana,200809,75.4,22,77.2,-1.8,66.2,55,66.4,-0.2,84.6,6,87.9,-3.3
Maine,200809,56.2,90,54.9,1.3,45.6,95,43.9,1.7,66.9,70,65.9,1
Maryland,200809,68.8,96,67,1.8,58.8,99,56.3,2.5,78.8,85,77.6,1.2
Massachusetts,200809,62.4,102,60.4,2,52.6,109,49.4,3.2,72.2,80,71.3,0.9
Michigan,200809,60.6,95,58.5,2.1,49.5,97,47.3,2.2,71.8,92,69.7,2.1
Minnesota,200809,58.7,90,56.8,1.9,47.6,94,45.3,2.3,69.7,81,68.3,1.4
Mississippi,200809,74.1,46,75.1,-1,64.4,82,63.3,1.1,83.8,12,87,-3.2
Missouri,200809,67.2,43,68.2,-1,56.8,68,56.2,0.6,77.5,24,80.3,-2.8
Montana,200809,53.6,51,53.8,-0.2,39.2,38,40,-0.8,68.1,56,67.6,0.5
Nebraska,200809,62.2,49,62.8,-0.6,48.7,54,48.7,0,75.7,39,77,-1.3
Nevada,200809,63.9,100,61.7,2.2,47,80,45.8,1.2,80.8,102,77.6,3.2
New Hampshire,200809,58.4,97,56.5,1.9,47.5,105,44.8,2.7,69.2,75,68.3,0.9
New Jersey,200809,67.4,101,65,2.4,57.4,107,54.3,3.1,77.3,88,75.7,1.6
New Mexico,200809,63.7,40,64.5,-0.8,49.2,44,49.8,-0.6,78.2,44,79.1,-0.9
New York,200809,60.7,93,58.9,1.8,50.1,97,48.1,2,71.4,86,69.8,1.6
North Carolina,200809,70.8,74,70.2,0.6,61.3,96,59.4,1.9,80.2,48,81.1,-0.9
North Dakota,200809,56.7,67,56.3,0.4,43.5,70,42.8,0.7,69.9,59,69.7,0.2
Ohio,200809,67,99,64.5,2.5,54.6,92,52.5,2.1,79.3,97,76.5,2.8
Oklahoma,200809,70.1,15,73.1,-3,58.5,27,60.6,-2.1,81.7,16,85.6,-3.9
Oregon,200809,59.4,97,57.3,2.1,43.3,72,43,0.3,75.5,103,71.6,3.9
Pennsylvania,200809,63.4,90,61.7,1.7,51.9,87,50.2,1.7,74.8,86,73.2,1.6
Rhode Island,200809,63.9,100,61.9,2,54.9,108,52.1,2.8,72.8,83,71.8,1
South Carolina,200809,73.8,65,73.7,0.1,64.4,89,63,1.4,83.2,42,84.5,-1.3
South Dakota,200809,60.3,57,60.2,0.1,46.3,67,46,0.3,74.3,55,74.4,-0.1
Tennessee,200809,71.2,82,70.2,1,59.6,88,57.9,1.7,82.8,77,82.4,0.4
Texas,200809,73.3,11,75.9,-2.6,61.4,12,63.7,-2.3,85.1,13,88,-2.9
Utah,200809,61.9,85,60.6,1.3,46.5,64,46.2,0.3,77.2,90,75,2.2
Vermont,200809,58.5,101,56,2.5,47.7,109,44.6,3.1,69.2,86,67.4,1.8
Virginia,200809,68.2,85,67.1,1.1,58.1,94,55.9,2.2,78.3,68,78.3,0
Washington,200809,57.8,79,56.9,0.9,44.7,66,44.6,0.1,71,80,69.3,1.7
West Virginia,200809,66.5,93,64.4,2.1,54.6,94,52.4,2.2,78.4,90,76.4,2
Wisconsin,200809,60.5,95,58,2.5,49.7,103,46.8,2.9,71.4,92,69.3,2.1
Wyoming,200809,52.8,43,53.6,-0.8,38,37,38.9,-0.9,67.5,41,68.2,-0.7
Alabama,200808,78.4,27,79.3,-0.9,68.4,69,68,0.4,88.3,16,90.6,-2.3
Arizona,200808,79.3,102,77.8,1.5,66.1,108,64.3,1.8,92.6,91,91.3,1.3
Arkansas,200808,77.7,27,79.3,-1.6,68,59,67.7,0.3,87.3,16,91,-3.7
California,200808,76.6,118,73.7,2.9,61.6,117,58.6,3,91.6,118,88.9,2.7
Colorado,200808,65.7,75,65.2,0.5,51.9,91,50.7,1.2,79.4,51,79.7,-0.3
Connecticut,200808,67.8,34,68.6,-0.8,56.8,33,57.9,-1.1,78.8,40,79.3,-0.5
Delaware,200808,73.4,50,73.7,-0.3,62.1,21,63.8,-1.7,84.6,77,83.6,1
Florida,200808,81.3,79,81.1,0.2,73.2,111,71.5,1.7,89.4,11,90.6,-1.2
Georgia,200808,78.9,52,79,-0.1,69.3,98,68.1,1.2,88.5,29,89.9,-1.4
Idaho,200808,64.8,81,63.6,1.2,48.5,82,47.6,0.9,81.1,86,79.5,1.6
Illinois,200808,71.8,30,73.4,-1.6,60.8,36,61.9,-1.1,83,31,84.9,-1.9
Indiana,200808,71.2,33,72.3,-1.1,59.6,41,60.6,-1,82.7,37,84.1,-1.4
Iowa,200808,69.9,32,71.4,-1.5,58.4,33,59.8,-1.4,81.4,38,83,-1.6
Kansas,200808,75.2,23,77.3,-2.1,64.2,57,64.3,-0.1,86.3,15,90.2,-3.9
Kentucky,200808,73.9,34,74.8,-0.9,61.8,26,63.3,-1.5,86,53,86.3,-0.3
Louisiana,200808,81.1,39,81.6,-0.5,72.2,96,71.2,1,90.1,18,91.9,-1.8
Maine,200808,63.1,57,63,0.1,53.6,92,51.8,1.8,72.7,34,74.3,-1.6
Maryland,200808,72.6,42,73.2,-0.6,61.6,28,62.9,-1.3,83.6,60,83.6,0
Massachusetts,200808,67.2,45,67.5,-0.3,56.8,55,56.7,0.1,77.6,38,78.4,-0.8
Michigan,200808,66.5,71,65.9,0.6,54,50,54.1,-0.1,78.9,81,77.6,1.3
Minnesota,200808,66.8,75,66.3,0.5,54.4,55,54.3,0.1,79.3,84,78.2,1.1
Mississippi,200808,78.5,17,80.2,-1.7,68.9,49,68.9,0,88,5,91.6,-3.6
Missouri,200808,73.9,21,76,-2.1,63.3,38,64.2,-0.9,84.5,18,87.8,-3.3
Montana,200808,65.6,89,64.1,1.5,49.5,81,48.9,0.6,81.7,96,79.2,2.5
Nebraska,200808,71.4,42,72.3,-0.9,59,64,58.9,0.1,83.7,33,85.8,-2.1
Nevada,200808,73.2,116,70.1,3.1,56.6,108,54,2.6,89.8,116,86.3,3.5
New Hampshire,200808,63.8,51,64.1,-0.3,53.2,80,52.3,0.9,74.4,28,75.8,-1.4
New Jersey,200808,71.3,47,71.6,-0.3,59.6,27,61.1,-1.5,82.9,75,82.1,0.8
New Mexico,200808,71,65,70.9,0.1,57.4,77,56.9,0.5,84.5,55,84.9,-0.4
New York,200808,64.8,27,66,-1.2,54.2,39,55,-0.8,75.4,21,77.1,-1.7
North Carolina,200808,75.5,53,75.6,-0.1,65,47,65.2,-0.2,86,56,86,0
North Dakota,200808,68.6,90,66.9,1.7,54.8,97,53,1.8,82.4,84,80.9,1.5
Ohio,200808,70.4,46,70.9,-0.5,58.6,46,59.4,-0.8,82.2,53,82.4,-0.2
Oklahoma,200808,79.1,29,80.9,-1.8,68.4,61,68.4,0,89.8,17,93.4,-3.6
Oregon,200808,65.2,83,63.9,1.3,49.6,87,48.3,1.3,80.8,75,79.5,1.3
Pennsylvania,200808,66.8,25,68.4,-1.6,54.8,18,57,-2.2,78.8,38,79.8,-1
Rhode Island,200808,68.4,42,68.7,-0.3,58.6,44,59.1,-0.5,78.2,49,78.2,0
South Carolina,200808,79.1,71,78.7,0.4,69.1,87,68.2,0.9,89.2,62,89.2,0
South Dakota,200808,71.2,79,70.5,0.7,57.9,88,56.5,1.4,84.5,66,84.5,0
Tennessee,200808,75.2,42,76,-0.8,63.6,36,64.4,-0.8,86.9,45,87.6,-0.7
Texas,200808,80.8,32,81.9,-1.1,69.8,58,69.5,0.3,91.8,19,94.2,-2.4
Utah,200808,71.6,110,69.4,2.2,56.7,92,55.1,1.6,86.6,112,83.7,2.9
Vermont,200808,63.1,49,63.4,-0.3,52.6,75,51.8,0.8,73.7,31,75.1,-1.4
Virginia,200808,72.3,38,73.1,-0.8,60.9,19,62.4,-1.5,83.8,59,83.8,0
Washington,200808,64,69,63.5,0.5,51.3,95,49.8,1.5,76.6,48,77.2,-0.6
West Virginia,200808,68.7,18,70.4,-1.7,57.3,21,59.1,-1.8,80.1,29,81.6,-1.5
Wisconsin,200808,66.5,57,66.4,0.1,53.8,44,54.7,-0.9,79.2,79,78.1,1.1
Wyoming,200808,64.4,85,63.4,1,48.4,72,48.1,0.3,80.5,96,78.7,1.8
Alabama,200807,80,66,79.9,0.1,68.4,30,68.8,-0.4,91.6,78,91.1,0.5
Arizona,200807,80.4,77,79.7,0.7,67.1,100,65.6,1.5,93.8,53,93.8,0
Arkansas,200807,80.5,69,80.3,0.2,69.1,57,68.9,0.2,91.9,77,91.7,0.2
California,200807,76.5,99,74.7,1.8,61.7,104,59.5,2.2,91.4,92,89.9,1.5
Colorado,200807,69.2,105,67.1,2.1,53.5,92,52.2,1.3,84.9,109,81.9,3
Connecticut,200807,73.3,111,70.7,2.6,63.2,119,59.8,3.4,83.3,100,81.5,1.8
Delaware,200807,77.4,101,75.5,1.9,66.9,90,65.4,1.5,87.9,103,85.6,2.3
Florida,200807,81.2,69,81,0.2,72,88,71.3,0.7,90.4,45,90.7,-0.3
Georgia,200807,79.7,59,79.7,0,68.6,42,68.7,-0.1,90.9,75,90.7,0.2
Idaho,200807,66.5,87,65.1,1.4,49.9,74,49.2,0.7,83.2,93,81.1,2.1
Illinois,200807,74.5,42,75.6,-1.1,64.1,64,64.1,0,84.9,31,87.1,-2.2
Indiana,200807,73.3,40,74.5,-1.2,62.6,55,62.8,-0.2,84,30,86.1,-2.1
Iowa,200807,73.1,50,73.9,-0.8,62.7,75,62.2,0.5,83.6,37,85.5,-1.9
Kansas,200807,78.6,61,78.9,-0.3,66,65,65.9,0.1,91.2,64,91.8,-0.6
Kentucky,200807,75.2,34,76.3,-1.1,63.5,28,64.8,-1.3,86.8,47,87.7,-0.9
Louisiana,200807,82.9,100,81.9,1,72.2,75,71.8,0.4,93.6,107,91.9,1.7
Maine,200807,67.7,107,65.3,2.4,57.1,114,54,3.1,78.3,98,76.6,1.7
Maryland,200807,76.2,90,75.1,1.1,65.6,83,64.6,1,86.8,87,85.6,1.2
Massachusetts,200807,72.4,110,69.7,2.7,62.4,120,58.7,3.7,82.4,100,80.7,1.7
Michigan,200807,68.3,65,68.1,0.2,57,92,55.9,1.1,79.5,49,80.3,-0.8
Minnesota,200807,68.4,52,68.8,-0.4,56.8,59,56.9,-0.1,80.1,52,80.7,-0.6
Mississippi,200807,81.2,74,80.8,0.4,69.2,29,69.8,-0.6,93.2,96,91.9,1.3
Missouri,200807,76.6,41,77.7,-1.1,66.4,75,66.1,0.3,86.8,31,89.2,-2.4
Montana,200807,66.5,73,65.7,0.8,50.7,54,50.8,-0.1,82.3,83,80.6,1.7
Nebraska,200807,75,73,74.5,0.5,61.6,74,60.9,0.7,88.3,69,88.1,0.2
Nevada,200807,74.3,105,72.1,2.2,57.6,93,55.9,1.7,91,106,88.3,2.7
New Hampshire,200807,68.3,97,66.5,1.8,57.4,111,54.5,2.9,79.2,75,78.5,0.7
New Jersey,200807,76,107,73.5,2.5,65.2,103,62.8,2.4,86.8,110,84.1,2.7
New Mexico,200807,72,33,72.7,-0.7,59.1,88,58.1,1,85,21,87.2,-2.2
New York,200807,69.1,86,68.2,0.9,58.7,100,57,1.7,79.5,65,79.4,0.1
North Carolina,200807,76.6,47,76.9,-0.3,65.5,31,66.4,-0.9,87.6,71,87.4,0.2
North Dakota,200807,69.2,60,69,0.2,55.4,52,55.7,-0.3,83.1,72,82.3,0.8
Ohio,200807,72.3,49,73,-0.7,61.3,60,61.3,0,83.4,43,84.6,-1.2
Oklahoma,200807,81.7,66,81.7,0,69.7,72,69.5,0.2,93.6,67,93.9,-0.3
Oregon,200807,66.3,89,64.8,1.5,50,79,49.2,0.8,82.6,93,80.3,2.3
Pennsylvania,200807,71,81,70.4,0.6,59.7,82,58.8,0.9,82.3,76,81.9,0.4
Rhode Island,200807,73.9,116,70.3,3.6,64.9,121,60.7,4.2,82.9,110,79.9,3
South Carolina,200807,79.8,59,79.9,-0.1,68.6,37,69.1,-0.5,91.1,82,90.6,0.5
South Dakota,200807,72.7,65,72.6,0.1,59.3,72,58.8,0.5,86,62,86.4,-0.4
Tennessee,200807,76.8,52,77.1,-0.3,65,40,65.7,-0.7,88.5,67,88.6,-0.1
Texas,200807,81.7,41,82.3,-0.6,70.1,52,70.3,-0.2,93.4,42,94.4,-1
Utah,200807,74.1,111,71.5,2.6,58.9,106,56.8,2.1,89.4,111,86.2,3.2
Vermont,200807,67,91,65.9,1.1,56.4,107,54,2.4,77.6,52,77.8,-0.2
Virginia,200807,74.6,50,74.7,-0.1,63.1,43,63.8,-0.7,86.1,75,85.6,0.5
Washington,200807,64.4,67,64,0.4,50.8,78,50.3,0.5,78.1,59,77.8,0.3
West Virginia,200807,70.6,27,71.9,-1.3,58.9,29,60.3,-1.4,82.3,42,83.4,-1.1
Wisconsin,200807,69,65,68.9,0.1,57.4,69,57.1,0.3,80.6,59,80.8,-0.2
Wyoming,200807,67,92,65.3,1.7,50.7,78,50,0.7,83.3,100,80.6,2.7
Alabama,200806,78.7,90,77.5,1.2,66.8,82,65.8,1,90.6,85,89.3,1.3
Arizona,200806,77.3,101,74.4,2.9,60.2,95,57.9,2.3,94.4,110,90.9,3.5
Arkansas,200806,77.7,88,76.5,1.2,67.5,101,65.4,2.1,87.8,74,87.7,0.1
California,200806,71.1,103,68.3,2.8,55.5,97,53.7,1.8,86.7,110,82.8,3.9
Colorado,200806,61.6,65,61.2,0.4,45.5,36,46.3,-0.8,77.6,73,76.2,1.4
Connecticut,200806,68.6,115,65.4,3.2,57.8,118,54.1,3.7,79.4,108,76.7,2.7
Delaware,200806,75.2,121,70.7,4.5,64.1,119,60.1,4,86.4,121,81.3,5.1
Florida,200806,80.9,105,79.5,1.4,70.4,99,69.2,1.2,91.4,102,89.9,1.5
Georgia,200806,79.4,105,77.4,2,66.9,85,65.7,1.2,91.8,106,89.1,2.7
Idaho,200806,56.3,51,56.7,-0.4,42.2,47,42.9,-0.7,70.4,57,70.4,0
Illinois,200806,73.2,95,71.4,1.8,62.6,103,60,2.6,83.8,80,82.8,1
Indiana,200806,72.2,93,70.5,1.7,61.4,100,58.9,2.5,83.1,81,82.1,1
Iowa,200806,69.3,58,69.1,0.2,58.6,71,57.7,0.9,80.1,55,80.6,-0.5
Kansas,200806,73.8,68,73.4,0.4,61,62,60.8,0.2,86.6,67,85.9,0.7
Kentucky,200806,74.3,97,72.6,1.7,62.6,92,60.8,1.8,86,94,84.3,1.7
Louisiana,200806,81.2,101,79.8,1.4,71.3,107,69.4,1.9,91,86,90.1,0.9
Maine,200806,61.2,99,59.8,1.4,51.5,116,48.2,3.3,70.8,43,71.4,-0.6
Maryland,200806,74.3,120,70.6,3.7,63,116,59.8,3.2,85.6,121,81.5,4.1
Massachusetts,200806,67.4,113,64.4,3,56.8,118,53,3.8,77.9,101,75.7,2.2
Michigan,200806,64.8,80,63.3,1.5,53.9,107,51,2.9,75.8,65,75.5,0.3
Minnesota,200806,62.9,40,63.7,-0.8,51.8,50,52,-0.2,74.1,36,75.5,-1.4
Mississippi,200806,79.2,92,78.3,0.9,68,86,66.8,1.2,90.4,76,89.8,0.6
Missouri,200806,73.5,73,73,0.5,63.4,88,61.8,1.6,83.7,59,84.1,-0.4
Montana,200806,56.7,35,58.3,-1.6,43.6,23,45.4,-1.8,69.9,48,71.1,-1.2
Nebraska,200806,67.5,45,68.3,-0.8,54.4,40,55.3,-0.9,80.6,51,81.3,-0.7
Nevada,200806,65.4,81,63.9,1.5,48.9,67,48.4,0.5,82,87,79.4,2.6
New Hampshire,200806,63.9,112,61.5,2.4,53.1,120,49.2,3.9,74.6,80,73.8,0.8
New Jersey,200806,73,122,68.5,4.5,61.5,119,57.4,4.1,84.5,121,79.7,4.8
New Mexico,200806,71.9,106,69.2,2.7,54.4,94,52.9,1.5,89.5,111,85.5,4
New York,200806,66.6,116,63.4,3.2,56.2,121,52,4.2,77.1,101,74.9,2.2
North Carolina,200806,77.1,119,73.6,3.5,64.8,110,62.3,2.5,89.4,120,84.8,4.6
North Dakota,200806,60.8,27,62.9,-2.1,48.8,25,50.7,-1.9,72.7,29,75.2,-2.5
Ohio,200806,70.8,96,68.9,1.9,59.9,106,57.2,2.7,81.7,81,80.6,1.1
Oklahoma,200806,78.2,89,76.9,1.3,66.8,95,65.3,1.5,89.6,83,88.5,1.1
Oregon,200806,56.6,55,57.2,-0.6,42.1,24,43.7,-1.6,71.2,71,70.6,0.6
Pennsylvania,200806,68.8,115,66,2.8,57.2,117,54.2,3,80.4,107,77.8,2.6
Rhode Island,200806,69,124,64.7,4.3,59.1,124,54.5,4.6,78.9,120,74.9,4
South Carolina,200806,80.1,113,77,3.1,67.6,103,65.6,2,92.6,118,88.4,4.2
South Dakota,200806,63.8,32,65.7,-1.9,51.6,36,53,-1.4,75.9,36,78.4,-2.5
Tennessee,200806,75.4,97,73.8,1.6,63.7,90,62,1.7,87.1,90,85.6,1.5
Texas,200806,82.9,117,79.6,3.3,70.3,117,67.5,2.8,95.5,115,91.6,3.9
Utah,200806,65,73,64,1,49.4,67,49.2,0.2,80.7,80,78.8,1.9
Vermont,200806,63.7,113,61,2.7,53.3,122,48.9,4.4,74.2,83,73.2,1
Virginia,200806,74,118,70.9,3.1,61.4,100,59.4,2,86.5,120,82.3,4.2
Washington,200806,56.2,30,57.7,-1.5,44.4,27,45.6,-1.2,68,33,69.9,-1.9
West Virginia,200806,69.7,90,68.1,1.6,57.6,86,56.1,1.5,81.8,94,80,1.8
Wisconsin,200806,64.4,65,64.1,0.3,53.6,84,52.2,1.4,75.3,52,76,-0.7
Wyoming,200806,56.4,37,57.6,-1.2,42.1,28,43.5,-1.4,70.6,42,71.7,-1.1
Alabama,200805,70.3,57,70.7,-0.4,58.5,66,58.3,0.2,82.1,47,83,-0.9
Arizona,200805,63.6,28,65,-1.4,47.8,34,49.2,-1.4,79.4,33,80.8,-1.4
Arkansas,200805,68.1,47,68.7,-0.6,57,57,57.4,-0.4,79.2,46,79.9,-0.7
California,200805,61.7,73,60.7,1,48.3,77,47.4,0.9,75.1,73,74.1,1
Colorado,200805,51,42,51.8,-0.8,36.3,26,37.9,-1.6,65.7,54,65.8,-0.1
Connecticut,200805,55.1,32,56.8,-1.7,43.4,19,45,-1.6,66.8,38,68.6,-1.8
Delaware,200805,60.9,37,62.1,-1.2,49.7,24,51,-1.3,72,42,73.3,-1.3
Florida,200805,76.4,97,75.1,1.3,65,98,63.5,1.5,87.7,89,86.6,1.1
Georgia,200805,70.3,43,71,-0.7,57.8,42,58.5,-0.7,82.8,51,83.4,-0.6
Idaho,200805,48.9,54,49.3,-0.4,36.1,51,36.5,-0.4,61.7,58,62,-0.3
Illinois,200805,59,22,62.1,-3.1,47.9,20,50.6,-2.7,70.2,25,73.6,-3.4
Indiana,200805,58.1,20,61.3,-3.2,46.9,22,49.5,-2.6,69.2,18,73.1,-3.9
Iowa,200805,57.4,29,59.8,-2.4,45.4,26,47.9,-2.5,69.3,30,71.7,-2.4
Kansas,200805,63,56,63.4,-0.4,49.7,36,50.9,-1.2,76.2,63,75.8,0.4
Kentucky,200805,61.8,23,64.4,-2.6,49.8,26,52.1,-2.3,73.8,27,76.7,-2.9
Louisiana,200805,73.8,68,73.4,0.4,63.8,80,62.8,1,83.9,57,84.1,-0.2
Maine,200805,50,48,50.5,-0.5,37.8,36,38.7,-0.9,62.2,54,62.4,-0.2
Maryland,200805,60.4,21,62.3,-1.9,48.8,20,50.8,-2,71.9,38,73.7,-1.8
Massachusetts,200805,54.2,31,55.7,-1.5,42.7,27,44.1,-1.4,65.8,38,67.4,-1.6
Michigan,200805,51.2,26,53.6,-2.4,38.6,24,41.3,-2.7,63.8,34,65.9,-2.1
Minnesota,200805,51.5,27,54.2,-2.7,39,20,41.8,-2.8,63.9,32,66.6,-2.7
Mississippi,200805,71.1,56,71.3,-0.2,59.7,67,59.5,0.2,82.4,45,83,-0.6
Missouri,200805,62.4,35,64.2,-1.8,51.1,35,52.7,-1.6,73.7,28,75.7,-2
Montana,200805,49.6,56,50.2,-0.6,37.9,70,37.7,0.2,61.2,51,62.8,-1.6
Nebraska,200805,56.3,32,58.4,-2.1,43.3,27,45.4,-2.1,69.2,36,71.4,-2.2
Nevada,200805,54.2,44,55,-0.8,40.3,53,40.8,-0.5,68.2,46,69.2,-1
New Hampshire,200805,51.4,40,52.6,-1.2,38.1,18,40,-1.9,64.6,57,65.2,-0.6
New Jersey,200805,57.9,28,59.8,-1.9,46.4,20,48.3,-1.9,69.5,31,71.3,-1.8
New Mexico,200805,60.2,64,60.2,0,43.4,37,44.1,-0.7,77,78,76.3,0.7
New York,200805,51.7,19,54.5,-2.8,39.6,13,42.8,-3.2,63.8,28,66.1,-2.3
North Carolina,200805,64.8,30,66.4,-1.6,52.5,25,54.3,-1.8,77,36,78.6,-1.6
North Dakota,200805,51.4,33,53.7,-2.3,37.7,18,40.6,-2.9,65,43,66.8,-1.8
Ohio,200805,57,21,60,-3,45.6,25,48,-2.4,68.4,20,72.1,-3.7
Oklahoma,200805,68.5,70,68,0.5,55.9,54,56.4,-0.5,81.1,84,79.7,1.4
Oregon,200805,51.6,82,50.5,1.1,39.3,89,38,1.3,63.8,72,63,0.8
Pennsylvania,200805,54,12,57.6,-3.6,41.4,7,45.4,-4,66.5,20,69.9,-3.4
Rhode Island,200805,55.4,45,56.1,-0.7,45.1,46,45.5,-0.4,65.8,50,66.6,-0.8
South Carolina,200805,69,33,70.3,-1.3,56.3,31,57.9,-1.6,81.7,46,82.7,-1
South Dakota,200805,53,21,56,-3,40.9,27,43,-2.1,65.1,18,69.1,-4
Tennessee,200805,64.8,36,66.1,-1.3,53.1,43,53.9,-0.8,76.4,34,78.3,-1.9
Texas,200805,74.3,103,72.5,1.8,61.4,91,60.2,1.2,87.2,106,84.7,2.5
Utah,200805,52.8,33,54.7,-1.9,38.8,18,41.1,-2.3,66.7,41,68.2,-1.5
Vermont,200805,50,24,52.2,-2.2,36.8,12,39.9,-3.1,63.2,47,64.5,-1.3
Virginia,200805,61.3,27,63.2,-1.9,49.1,25,51,-1.9,73.4,30,75.4,-2
Washington,200805,53.1,89,51.8,1.3,41.9,103,40.1,1.8,64.2,67,63.6,0.6
West Virginia,200805,57.1,12,60.5,-3.4,44.6,15,47.6,-3,69.6,16,73.4,-3.8
Wisconsin,200805,52,27,54.6,-2.6,39.2,18,42.3,-3.1,64.8,34,67,-2.2
Wyoming,200805,46.8,37,48.4,-1.6,34.6,42,35.6,-1,59,38,61.3,-2.3
Alabama,200804,62.8,61,62.8,0,50.6,74,50.1,0.5,75,54,75.6,-0.6
Arizona,200804,58,77,56.7,1.3,41.7,56,41.8,-0.1,74.3,93,71.7,2.6
Arkansas,200804,58.8,28,60.5,-1.7,47.4,32,48.9,-1.5,70.2,26,72.1,-1.9
California,200804,54.4,69,54,0.4,40.3,32,41.6,-1.3,68.4,87,66.5,1.9
Colorado,200804,40.9,32,42.5,-1.6,25.9,10,28.9,-3,55.8,48,56.1,-0.3
Connecticut,200804,49.6,114,46,3.6,37.1,98,34.9,2.2,62,115,57.1,4.9
Delaware,200804,55.4,110,52,3.4,44.9,118,41,3.9,65.8,97,63.1,2.7
Florida,200804,69.5,66,69.3,0.2,57.9,73,57.4,0.5,81.1,55,81.2,-0.1
Georgia,200804,62.6,53,63,-0.4,50.3,62,50.2,0.1,74.8,46,75.8,-1
Idaho,200804,36.3,7,41,-4.7,23.6,1,29.2,-5.6,48.9,20,52.7,-3.8
Illinois,200804,51.4,52,51.5,-0.1,40.9,67,40.3,0.6,62,46,62.7,-0.7
Indiana,200804,52.3,77,50.6,1.7,40.9,84,39.3,1.6,63.8,78,61.9,1.9
Iowa,200804,46,30,48.1,-2.1,35.8,48,36.4,-0.6,56.1,24,59.8,-3.7
Kansas,200804,50.5,19,53.5,-3,37.7,17,40.4,-2.7,63.3,23,66.6,-3.3
Kentucky,200804,55.4,63,55.2,0.2,43.4,66,42.9,0.5,67.5,59,67.4,0.1
Louisiana,200804,66.5,67,66.3,0.2,55.4,65,55.4,0,77.7,77,77.2,0.5
